Case_ID,Case_Type,Priority,Received_Date,Start_Time,End_Time,Agent_ID,Agent_Name,Department,Status,SLA_Target_Hours,Country
CASE-100029,KYC Review,Medium,2025-12-31,2025-12-31 03:08:23,2025-12-31 22:42:33,AGT0012,David Ortiz,KYC Operations,Closed,50,Mexico
CASE-100030,KYC Review,Low,2026-03-25,2026-03-25 19:45:41,2026-03-26 08:24:55,AGT0054,Stephanie Ramos,KYC Operations,Closed,32,United States
CASE-100031,KYC Review,High,2026-04-21,2026-04-21 06:28:14,2026-04-22 18:59:09,AGT0066,Karen Carter,KYC Operations,Closed,75,Mexico
CASE-100032,KYC Review,Low,2026-04-10,2026-04-10 03:29:23,2026-04-10 09:26:45,AGT0084,Fatima Ruiz,KYC Operations,Closed,32,Ireland
CASE-100033,Fraud Alert,Low,2025-08-28,2025-08-29 01:31:12,2025-08-29 07:25:51,AGT0002,Dorothy Clark,Fraud Operations,Closed,30,United States
CASE-100034,AML Review,Medium,2025-11-21,2025-11-21 16:34:47,2025-11-22 12:29:20,AGT0100,Samantha Ramirez,AML Operations,Closed,60,South Africa
CASE-100035,KYC Review,High,2026-05-11,2026-05-11 13:37:44,,AGT0057,Ryan Davis,KYC Operations,Pending,75,Singapore
CASE-100036,AML Review,Low,2025-08-13,2025-08-13 23:05:12,,AGT0013,Sharon Richardson,AML Operations,Open,40,India
CASE-100037,KYC Review,Medium,2026-06-25,2026-06-25 21:56:03,2026-06-27 22:51:38,AGT0024,Aisha Turner,KYC Operations,Closed,50,United States
CASE-100038,AML Review,Low,2026-01-01,2026-01-01 11:27:31,2026-01-01 14:03:41,AGT0079,Raj Campbell,AML Operations,Closed,40,United States
CASE-100039,AML Review,Medium,2025-12-31,2025-12-31 09:01:17,,AGT0049,Linda Cruz,AML Operations,Open,60,United States
CASE-100040,Fraud Alert,Low,2025-09-29,2025-09-30 10:40:27,2025-09-30 16:02:51,AGT0062,Jennifer Scott,Fraud Operations,Closed,30,United States
CASE-100041,KYC Review,Medium,2026-01-01,2026-01-01 05:18:06,2026-01-01 20:15:01,AGT0087,Jason Young,KYC Operations,Closed,50,India
CASE-100042,AML Review,Medium,2026-06-07,2026-06-07 23:11:38,2026-06-10 05:21:57,AGT0070,Christopher Lee,AML Operations,Closed,60,United Kingdom
CASE-100043,AML Review,Medium,2025-08-30,2025-08-31 03:06:08,2025-09-01 11:38:16,AGT0038,Timothy Peterson,AML Operations,Closed,60,Singapore
CASE-100044,Fraud Alert,Low,2025-12-06,2025-12-06 05:12:24,,AGT0020,Donna Williams,Fraud Operations,Pending,30,United Arab Emirates
CASE-100045,Fraud Alert,High,2025-08-28,2025-08-28 08:54:05,2025-08-30 06:44:04,AGT0081,Nicholas Ross,Fraud Operations,Closed,48,United States
CASE-100046,Fraud Alert,Low,2025-10-12,2025-10-12 16:38:46,2025-10-13 20:22:28,AGT0092,Susan Chavez,Fraud Operations,Closed,30,United States
CASE-100047,Fraud Alert,Medium,2026-07-19,2026-07-19 13:12:36,2026-07-20 11:57:16,AGT0068,Carol Rodriguez,Fraud Operations,Closed,40,United States
CASE-100048,KYC Review,Medium,2026-06-23,2026-06-24 06:13:33,2026-06-24 14:43:31,AGT0054,Stephanie Ramos,KYC Operations,Closed,50,United States
CASE-100049,AML Review,Low,2026-05-03,2026-05-03 19:27:43,2026-05-04 06:15:56,AGT0028,Anthony Gray,AML Operations,Closed,40,United States
CASE-100050,Fraud Alert,Medium,2025-09-15,2025-09-15 09:36:04,2025-09-17 04:50:44,AGT0016,Amanda Jones,Fraud Operations,Closed,40,Japan
CASE-100051,Fraud Alert,Medium,2025-09-16,2025-09-16 22:13:03,2025-09-17 11:55:29,AGT0074,Carlos Lopez,Fraud Operations,Closed,40,Australia
CASE-100052,AML Review,Low,2025-12-15,2025-12-16 04:26:38,2025-12-16 11:36:04,AGT0010,Brandon Evans,AML Operations,Closed,40,India
CASE-100053,AML Review,Low,2026-01-15,2026-01-15 14:17:14,2026-01-15 20:40:54,AGT0082,Sandra Diaz,AML Operations,Closed,40,India
CASE-100054,KYC Review,Medium,2025-12-06,2025-12-06 19:13:37,2025-12-08 00:46:26,AGT0084,Fatima Ruiz,KYC Operations,Closed,50,Brazil
CASE-100055,AML Review,High,2025-08-19,2025-08-19 08:28:04,,AGT0055,Thomas Wright,AML Operations,Pending,90,Japan
CASE-100056,AML Review,Medium,2025-12-12,2025-12-12 06:40:08,,AGT0025,Benjamin James,AML Operations,Pending,60,Japan
CASE-100057,Fraud Alert,Medium,2025-09-28,2025-09-28 23:12:21,2025-09-29 07:50:52,AGT0020,Donna Williams,Fraud Operations,Closed,40,Mexico
CASE-100058,KYC Review,High,2025-10-14,2025-10-14 16:56:15,2025-10-18 01:02:22,AGT0096,Emily Jimenez,KYC Operations,Closed,75,United States
CASE-100059,KYC Review,Medium,2026-02-27,2026-02-28 08:05:28,2026-03-01 09:39:05,AGT0009,Jessica Sanchez,KYC Operations,Closed,50,India
CASE-100060,AML Review,Medium,2025-08-31,2025-08-31 11:22:04,2025-09-01 00:57:08,AGT0007,Mary Thompson,AML Operations,Closed,60,United States
CASE-100061,Fraud Alert,Low,2026-01-29,2026-01-29 23:00:40,2026-01-30 05:00:13,AGT0014,Jeffrey Hall,Fraud Operations,Closed,30,United Kingdom
CASE-100062,Fraud Alert,High,2026-03-01,2026-03-01 11:22:21,2026-03-02 23:06:07,AGT0032,Melissa Stewart,Fraud Operations,Closed,48,United States
CASE-100063,Fraud Alert,High,2026-01-26,2026-01-26 12:20:22,2026-01-27 08:21:23,AGT0050,Paul Perez,Fraud Operations,Closed,48,United Kingdom
CASE-100064,KYC Review,High,2025-11-08,2025-11-08 09:29:23,2025-11-09 08:27:07,AGT0078,Anna Lewis,KYC Operations,Closed,75,Australia
CASE-100065,Fraud Alert,Medium,2026-01-21,2026-01-21 20:56:25,2026-01-22 05:24:59,AGT0032,Melissa Stewart,Fraud Operations,Closed,40,United States
CASE-100066,AML Review,Medium,2026-02-17,2026-02-18 01:06:35,2026-02-18 10:13:41,AGT0082,Sandra Diaz,AML Operations,Closed,60,United States
CASE-100067,AML Review,Low,2025-11-22,2025-11-22 12:00:13,2025-11-22 17:08:36,AGT0043,Michelle Taylor,AML Operations,Closed,40,United States
CASE-100068,AML Review,High,2025-10-22,2025-10-22 16:38:23,2025-10-24 06:17:34,AGT0015,Larry Nelson,AML Operations,Closed,90,United States
CASE-100069,KYC Review,High,2026-01-10,2026-01-10 16:59:11,2026-01-11 22:33:57,AGT0063,Michael Morales,KYC Operations,Closed,75,United States
CASE-100070,AML Review,Medium,2025-11-28,2025-11-28 11:24:10,2025-11-29 08:27:03,AGT0013,Sharon Richardson,AML Operations,Closed,60,United States
CASE-100071,AML Review,Low,2026-07-18,2026-07-18 04:38:18,2026-07-18 12:59:39,AGT0070,Christopher Lee,AML Operations,Closed,40,United States
CASE-100072,Fraud Alert,Medium,2025-08-12,2025-08-12 18:52:44,2025-08-14 00:51:55,AGT0074,Carlos Lopez,Fraud Operations,Closed,40,United Arab Emirates
CASE-100073,AML Review,Medium,2026-03-16,2026-03-16 13:30:21,2026-03-17 12:39:19,AGT0067,Emma Roberts,AML Operations,Closed,60,Canada
CASE-100074,KYC Review,High,2025-11-17,2025-11-17 14:08:12,2025-11-21 23:58:22,AGT0006,Ronald Harris,KYC Operations,Closed,75,Canada
CASE-100075,KYC Review,Medium,2025-10-30,2025-10-30 19:24:11,,AGT0036,Brian Gonzalez,KYC Operations,Pending,50,United Kingdom
CASE-100076,AML Review,Medium,2025-08-28,2025-08-28 12:33:08,,AGT0028,Anthony Gray,AML Operations,Open,60,United States
CASE-100077,Fraud Alert,Medium,2026-04-10,2026-04-10 15:16:35,2026-04-12 12:26:44,AGT0053,John Kim,Fraud Operations,Closed,40,United States
CASE-100078,AML Review,Low,2026-04-24,2026-04-24 14:45:25,,AGT0007,Mary Thompson,AML Operations,Pending,40,Japan
CASE-100079,KYC Review,Medium,2025-09-21,2025-09-21 14:42:37,2025-09-22 06:04:54,AGT0085,Omar Morgan,KYC Operations,Closed,50,Mexico
CASE-100080,KYC Review,Medium,2025-12-06,2025-12-06 01:26:38,2025-12-07 06:24:03,AGT0090,Helen Jackson,KYC Operations,Closed,50,United States
CASE-100081,AML Review,Medium,2026-03-03,2026-03-03 13:26:07,2026-03-04 17:07:46,AGT0004,Elizabeth Wilson,AML Operations,Closed,60,United States
CASE-100082,Fraud Alert,Low,2025-12-31,2025-12-31 17:07:23,2026-01-01 03:35:06,AGT0005,Shirley Morris,Fraud Operations,Closed,30,Brazil
CASE-100083,AML Review,Medium,2026-04-11,2026-04-11 04:33:22,2026-04-13 08:46:38,AGT0091,Wei Collins,AML Operations,Closed,60,Australia
CASE-100084,Fraud Alert,Medium,2026-05-15,2026-05-15 11:28:52,2026-05-16 11:08:50,AGT0026,Deborah Long,Fraud Operations,Closed,40,India
CASE-100085,KYC Review,Low,2026-07-21,2026-07-22 00:55:10,2026-07-22 16:10:09,AGT0045,Charles Robinson,KYC Operations,Closed,32,France
CASE-100086,Fraud Alert,Medium,2026-04-25,2026-04-25 08:28:48,2026-04-26 02:30:15,AGT0047,Kathleen Myers,Fraud Operations,Closed,40,United States
CASE-100087,KYC Review,Medium,2025-08-28,2025-08-28 20:02:35,2025-08-30 05:14:46,AGT0093,Sarah Gomez,KYC Operations,Closed,50,United States
CASE-100088,Fraud Alert,Medium,2026-06-28,2026-06-28 17:06:29,2026-06-29 07:30:22,AGT0050,Paul Perez,Fraud Operations,Closed,40,Singapore
CASE-100089,Fraud Alert,Medium,2025-12-24,2025-12-25 00:23:54,2025-12-26 20:07:42,AGT0053,John Kim,Fraud Operations,Closed,40,Japan
CASE-100090,AML Review,Low,2026-02-18,2026-02-18 14:19:54,2026-02-19 13:23:53,AGT0025,Benjamin James,AML Operations,Closed,40,United States
CASE-100091,Fraud Alert,Medium,2025-12-22,2025-12-22 20:20:41,2025-12-23 16:27:16,AGT0002,Dorothy Clark,Fraud Operations,Closed,40,Mexico
CASE-100092,Fraud Alert,Medium,2026-02-24,2026-02-24 14:46:50,2026-02-25 05:54:47,AGT0071,James Martin,Fraud Operations,Closed,40,United States
CASE-100093,KYC Review,High,2025-10-21,2025-10-22 00:05:53,2025-10-22 16:04:35,AGT0012,David Ortiz,KYC Operations,Closed,75,United States
CASE-100094,Fraud Alert,Medium,2026-02-16,2026-02-16 22:54:43,2026-02-18 03:03:29,AGT0035,Justin Martinez,Fraud Operations,Closed,40,United States
CASE-100095,Fraud Alert,Low,2025-12-26,2025-12-26 15:33:48,2025-12-26 23:51:34,AGT0035,Justin Martinez,Fraud Operations,Closed,30,Australia
CASE-100096,AML Review,Low,2026-05-16,2026-05-17 00:43:20,2026-05-17 04:32:05,AGT0100,Samantha Ramirez,AML Operations,Closed,40,France
CASE-100097,AML Review,Low,2026-03-19,2026-03-19 23:49:00,2026-03-20 10:11:40,AGT0046,Eric Hernandez,AML Operations,Closed,40,United Kingdom
CASE-100098,AML Review,Medium,2025-11-10,2025-11-10 20:42:33,2025-11-11 21:11:21,AGT0073,Laura Miller,AML Operations,Closed,60,Canada
CASE-100099,Fraud Alert,Low,2025-10-18,2025-10-19 02:36:20,,AGT0086,Robert Bailey,Fraud Operations,Pending,30,Australia
CASE-100100,AML Review,Medium,2026-04-13,2026-04-14 05:49:30,2026-04-14 22:39:26,AGT0034,Amy White,AML Operations,Closed,60,United Kingdom
CASE-100101,AML Review,Medium,2025-09-09,2025-09-09 09:15:01,2025-09-10 04:57:34,AGT0022,Nancy Patel,AML Operations,Closed,60,United States
CASE-100102,AML Review,Low,2025-11-16,2025-11-16 09:27:31,,AGT0067,Emma Roberts,AML Operations,Pending,40,Canada
CASE-100103,AML Review,Medium,2025-08-16,2025-08-16 11:02:11,2025-08-17 01:30:30,AGT0091,Wei Collins,AML Operations,Closed,60,France
CASE-100104,AML Review,High,2026-06-01,2026-06-01 04:24:11,2026-06-02 05:54:17,AGT0024,Aisha Turner,AML Operations,Closed,90,Singapore
CASE-100105,AML Review,Medium,2026-06-11,2026-06-12 00:32:34,,AGT0025,Benjamin James,AML Operations,Open,60,Mexico
CASE-100106,Fraud Alert,Medium,2026-07-15,2026-07-15 17:03:59,2026-07-17 15:31:25,AGT0038,Timothy Peterson,Fraud Operations,Closed,40,United Arab Emirates
CASE-100107,AML Review,Low,2025-11-25,2025-11-25 05:47:00,2025-11-25 11:45:21,AGT0073,Laura Miller,AML Operations,Closed,40,Singapore
CASE-100108,Fraud Alert,Medium,2025-07-26,2025-07-26 05:11:24,,AGT0095,Ashley Wood,Fraud Operations,Pending,40,United Kingdom
CASE-100109,AML Review,Low,2025-11-13,2025-11-13 08:46:50,2025-11-13 12:11:59,AGT0049,Linda Cruz,AML Operations,Closed,40,United Kingdom
CASE-100110,KYC Review,Medium,2026-07-15,2026-07-15 21:22:26,2026-07-16 13:51:40,AGT0033,Cynthia Rivera,KYC Operations,Closed,50,United States
CASE-100111,Fraud Alert,Medium,2026-05-05,2026-05-05 09:04:29,2026-05-09 00:37:58,AGT0026,Deborah Long,Fraud Operations,Closed,40,United States
CASE-100112,KYC Review,Low,2025-09-24,2025-09-24 18:33:22,2025-09-25 10:23:56,AGT0009,Jessica Sanchez,KYC Operations,Closed,32,Mexico
CASE-100113,AML Review,Medium,2026-03-18,2026-03-18 21:51:32,2026-03-20 04:04:31,AGT0013,Sharon Richardson,AML Operations,Closed,60,United States
CASE-100114,Fraud Alert,Medium,2026-05-24,2026-05-24 12:30:11,2026-05-25 03:40:31,AGT0053,John Kim,Fraud Operations,Closed,40,Mexico
CASE-100115,AML Review,Medium,2026-03-07,2026-03-08 01:04:02,,AGT0007,Mary Thompson,AML Operations,Pending,60,India
CASE-100116,KYC Review,Medium,2026-04-08,2026-04-08 17:08:09,2026-04-09 08:23:17,AGT0081,Nicholas Ross,KYC Operations,Closed,50,United Kingdom
CASE-100117,Fraud Alert,Medium,2026-04-30,2026-04-30 17:54:47,2026-05-02 00:32:45,AGT0002,Dorothy Clark,Fraud Operations,Closed,40,Mexico
CASE-100118,AML Review,Low,2026-03-24,2026-03-24 19:17:02,2026-03-25 07:09:02,AGT0064,Angela Allen,AML Operations,Closed,40,United Kingdom
CASE-100119,Fraud Alert,Low,2025-11-27,2025-11-27 23:17:18,,AGT0017,Edward Cooper,Fraud Operations,Open,30,United States
CASE-100120,KYC Review,Low,2026-04-16,2026-04-16 18:04:05,2026-04-16 22:32:07,AGT0042,Lisa Watson,KYC Operations,Closed,32,Singapore
CASE-100121,AML Review,Medium,2025-12-11,2025-12-11 17:35:10,2025-12-12 14:15:44,AGT0094,Mark Murphy,AML Operations,Closed,60,United Kingdom
CASE-100122,AML Review,High,2025-12-17,2025-12-17 22:16:50,,AGT0070,Christopher Lee,AML Operations,Pending,90,United States
CASE-100123,AML Review,Medium,2026-01-03,2026-01-04 10:08:13,2026-01-04 21:58:57,AGT0025,Benjamin James,AML Operations,Closed,60,Germany
CASE-100124,KYC Review,Medium,2025-10-09,2025-10-09 11:12:50,,AGT0096,Emily Jimenez,KYC Operations,Pending,50,United States
CASE-100125,KYC Review,High,2025-10-10,2025-10-10 09:02:26,2025-10-11 12:36:18,AGT0009,Jessica Sanchez,KYC Operations,Closed,75,Canada
CASE-100126,KYC Review,Medium,2026-02-17,2026-02-17 19:47:17,2026-02-18 14:53:29,AGT0030,Kimberly Torres,KYC Operations,Closed,50,United Arab Emirates
CASE-100127,AML Review,Low,2026-02-21,2026-02-21 04:01:42,2026-02-21 05:51:23,AGT0073,Laura Miller,AML Operations,Closed,40,Philippines
CASE-100128,Fraud Alert,Low,2026-02-24,2026-02-24 17:32:24,,AGT0065,Samuel Reyes,Fraud Operations,Open,30,Singapore
CASE-100129,KYC Review,Medium,2026-05-19,2026-05-19 12:01:55,2026-05-19 22:55:54,AGT0042,Lisa Watson,KYC Operations,Closed,50,United States
CASE-100130,KYC Review,High,2026-05-14,2026-05-14 14:02:28,,AGT0081,Nicholas Ross,KYC Operations,Pending,75,United Kingdom
CASE-100131,AML Review,Medium,2026-01-20,2026-01-20 14:14:58,2026-01-21 11:47:54,AGT0100,Samantha Ramirez,AML Operations,Closed,60,United States
CASE-100132,AML Review,Medium,2026-02-23,2026-02-23 20:34:08,2026-02-24 23:46:36,AGT0079,Raj Campbell,AML Operations,Closed,60,Singapore
CASE-100133,AML Review,Medium,2026-04-29,2026-04-30 03:06:58,2026-04-30 15:54:04,AGT0022,Nancy Patel,AML Operations,Closed,60,United States
CASE-100134,KYC Review,Medium,2026-03-30,2026-03-30 08:01:34,2026-03-31 09:22:40,AGT0012,David Ortiz,KYC Operations,Closed,50,Australia
CASE-100135,AML Review,Medium,2026-03-29,2026-03-29 06:35:43,2026-03-29 20:41:50,AGT0052,George Gutierrez,AML Operations,Closed,60,Brazil
CASE-100136,AML Review,High,2026-07-01,2026-07-02 00:08:26,2026-07-05 20:56:40,AGT0100,Samantha Ramirez,AML Operations,Closed,90,United States
CASE-100137,AML Review,Medium,2026-03-20,2026-03-20 07:14:14,2026-03-21 12:04:05,AGT0094,Mark Murphy,AML Operations,Closed,60,India
CASE-100138,KYC Review,Low,2026-04-23,2026-04-23 01:55:15,,AGT0005,Shirley Morris,KYC Operations,Pending,32,United States
CASE-100139,AML Review,Medium,2026-05-23,2026-05-24 04:36:06,2026-05-25 09:11:20,AGT0091,Wei Collins,AML Operations,Closed,60,Mexico
CASE-100140,AML Review,Medium,2025-09-04,2025-09-04 23:52:46,,AGT0076,Ahmed Rogers,AML Operations,Pending,60,United Kingdom
CASE-100141,AML Review,Medium,2026-03-17,2026-03-17 12:29:13,2026-03-18 04:51:32,AGT0013,Sharon Richardson,AML Operations,Closed,60,United States
CASE-100142,KYC Review,Low,2026-02-03,2026-02-03 15:18:55,2026-02-04 03:11:02,AGT0063,Michael Morales,KYC Operations,Closed,32,Japan
CASE-100143,AML Review,High,2026-01-07,2026-01-07 22:03:09,2026-01-09 06:44:02,AGT0073,Laura Miller,AML Operations,Closed,90,United States
CASE-100144,Fraud Alert,Medium,2026-02-03,2026-02-03 11:44:24,2026-02-05 06:55:05,AGT0032,Melissa Stewart,Fraud Operations,Closed,40,Canada
CASE-100145,AML Review,Low,2026-02-24,2026-02-24 15:27:06,2026-02-24 22:53:14,AGT0037,Noah Flores,AML Operations,Closed,40,Japan
CASE-100146,KYC Review,Medium,2026-03-21,2026-03-21 00:44:07,2026-03-21 18:31:48,AGT0066,Karen Carter,KYC Operations,Closed,50,Germany
CASE-100147,KYC Review,Medium,2025-08-19,2025-08-19 19:00:06,,AGT0015,Larry Nelson,KYC Operations,Open,50,United Kingdom
CASE-100148,KYC Review,Medium,2025-08-28,2025-08-29 05:30:02,2025-08-31 03:14:39,AGT0027,Katherine Brown,KYC Operations,Closed,50,United States
CASE-100149,AML Review,Medium,2025-08-08,2025-08-08 13:43:48,2025-08-09 03:56:04,AGT0022,Nancy Patel,AML Operations,Closed,60,United Kingdom
CASE-100150,KYC Review,Medium,2025-08-03,2025-08-04 03:46:18,2025-08-04 18:31:16,AGT0033,Cynthia Rivera,KYC Operations,Closed,50,France
CASE-100151,Fraud Alert,Medium,2025-09-26,2025-09-26 17:28:00,,AGT0017,Edward Cooper,Fraud Operations,Open,40,United Kingdom
CASE-100152,Fraud Alert,Low,2026-05-08,2026-05-08 12:12:53,2026-05-08 23:06:17,AGT0008,Stephen Hill,Fraud Operations,Closed,30,United Kingdom
CASE-100153,KYC Review,Medium,2025-12-02,2025-12-02 17:29:27,,AGT0090,Helen Jackson,KYC Operations,Pending,50,Australia
CASE-100154,KYC Review,Low,2026-05-30,2026-05-30 06:24:13,2026-05-30 14:48:44,AGT0099,Joseph Reed,KYC Operations,Closed,32,Germany
CASE-100155,Fraud Alert,Medium,2025-10-15,2025-10-15 12:49:30,2025-10-17 02:46:28,AGT0002,Dorothy Clark,Fraud Operations,Closed,40,Canada
CASE-100156,AML Review,Low,2025-08-06,2025-08-06 16:04:00,2025-08-07 00:40:57,AGT0040,Richard Castillo,AML Operations,Closed,40,United States
CASE-100157,KYC Review,Medium,2026-02-01,2026-02-01 15:03:29,2026-02-02 09:42:36,AGT0021,Donald Mitchell,KYC Operations,Closed,50,Singapore
CASE-100158,Fraud Alert,Medium,2025-11-02,2025-11-02 05:08:40,2025-11-02 17:50:33,AGT0047,Kathleen Myers,Fraud Operations,Closed,40,United States
CASE-100159,AML Review,High,2026-06-10,2026-06-10 13:07:40,2026-06-11 09:55:29,AGT0043,Michelle Taylor,AML Operations,Closed,90,France
CASE-100160,AML Review,Low,2025-12-25,2025-12-25 22:17:27,2025-12-26 13:32:07,AGT0088,Pamela Moore,AML Operations,Closed,40,United Arab Emirates
CASE-100161,KYC Review,Low,2026-05-09,2026-05-09 04:28:08,,AGT0048,Jacob Hughes,KYC Operations,Open,32,United States
CASE-100162,Fraud Alert,Low,2026-02-28,2026-02-28 14:22:50,2026-02-28 23:33:20,AGT0092,Susan Chavez,Fraud Operations,Closed,30,Canada
CASE-100163,KYC Review,Medium,2026-06-20,2026-06-20 18:16:35,2026-06-22 14:26:48,AGT0006,Ronald Harris,KYC Operations,Closed,50,India
CASE-100164,AML Review,High,2026-02-24,2026-02-24 22:18:56,2026-02-26 12:13:12,AGT0052,George Gutierrez,AML Operations,Closed,90,United States
CASE-100165,Fraud Alert,Medium,2026-01-25,2026-01-26 00:52:40,2026-01-26 11:45:06,AGT0077,Betty Mendoza,Fraud Operations,Closed,40,United States
CASE-100166,Fraud Alert,Medium,2026-03-16,2026-03-16 11:59:48,2026-03-17 03:02:31,AGT0023,Steven Johnson,Fraud Operations,Closed,40,United States
CASE-100167,AML Review,High,2026-04-17,2026-04-18 00:31:19,2026-04-19 10:28:12,AGT0013,Sharon Richardson,AML Operations,Closed,90,Germany
CASE-100168,Fraud Alert,Low,2026-04-25,2026-04-25 18:45:48,2026-04-26 01:26:10,AGT0047,Kathleen Myers,Fraud Operations,Closed,30,India
CASE-100169,KYC Review,Medium,2026-05-23,2026-05-23 11:03:15,2026-05-23 22:48:26,AGT0033,Cynthia Rivera,KYC Operations,Closed,50,United States
CASE-100170,Fraud Alert,Medium,2025-11-26,2025-11-26 03:20:37,2025-11-26 11:06:16,AGT0020,Donna Williams,Fraud Operations,Closed,40,United States
CASE-100171,Fraud Alert,Low,2026-03-11,2026-03-11 10:38:34,2026-03-11 16:20:07,AGT0047,Kathleen Myers,Fraud Operations,Closed,30,Japan
CASE-100172,AML Review,Medium,2026-05-11,2026-05-11 22:29:19,2026-05-12 18:27:41,AGT0064,Angela Allen,AML Operations,Closed,60,United Arab Emirates
CASE-100173,AML Review,Medium,2026-01-12,2026-01-12 02:17:44,2026-01-13 15:14:53,AGT0022,Nancy Patel,AML Operations,Closed,60,Australia
CASE-100174,KYC Review,Medium,2026-01-06,2026-01-06 11:51:00,2026-01-07 06:37:01,AGT0060,Gary Smith,KYC Operations,Closed,50,Canada
CASE-100175,KYC Review,Low,2026-01-21,2026-01-21 17:43:53,2026-01-22 09:38:34,AGT0078,Anna Lewis,KYC Operations,Closed,32,United States
CASE-100176,AML Review,Medium,2026-05-25,2026-05-26 01:49:17,2026-05-26 21:08:49,AGT0004,Elizabeth Wilson,AML Operations,Closed,60,United States
